,xpos,ypos,zpos,bz[nT],by[nT],bx[nT],pdyn[nPa]
10780,8.923859052,-7.288156712,-1.120677388,-1.1947,1.200000048,-3.160000086,1.86603
712,0.599934802,14.5900392,-6.210012746,-0.6,0.800000012,7.599999905,2.82
7793,11.22870066,4.385920693,-2.540182133,-0.4285,9999.990234,9999.990234,1.09674
10800,11.29149572,2.038252507,-1.241906638,0.0952505,1.159999967,-2.579999924,1.66417
285,-55.99135846,15.56488075,-1.104751602,1.929999948,-5.260000229,3.059999943,1.330000043
3117,4.286839187,-6.883469069,5.376880544,-5.19951,5.699999809,-6.099999905,4.93182
12585,-2.827605718,19.4997334,1.850668949,-0.14,-0.449999988,2.039999962,2.07666
3185,-7.123117621,-16.58752562,-0.625116714,-3.75,-1.799999952,6,2.61175
8176,11.77540972,-1.807800674,-2.756005566,0.191673,-0.99000001,-2,1.05316
6588,-8.180136714,-18.60197738,0.054499971,2.46333,-1.899999976,2.789999962,2.68333
7799,11.43329389,4.693925576,-2.709747578,0.0824908,-2.25999999,5.539999962,1.13971
2096,6.297862577,-4.337136069,6.384391057,-2.2314,0,-1.5,3.00269
7344,11.40932736,1.055503989,-3.485643814,-1.88899,-4.070000172,0.540000021,1.77947
10178,1.39706169,15.20468981,-1.03385689,1.816,-6.880000114,-0.02,1.92958
4312,0.896949078,-14.74002266,-2.050003337,-1.759,-1.559999943,6.28000021,2.26732
3591,-1.889917141,17.12997395,-0.862836063,0.248333,0.430000007,-0.649999976,2.84292
2289,-4.650443614,-15.36367197,-7.059159461,4.60189,3.200000048,-1.100000024,3.15391
13158,10.26099595,-2.747221892,-1.698937513,0.676,3.799999952,-4,1.63663
6379,-10.15296361,-14.10399667,13.49298373,3.1,-2.059999943,2.900000095,1.94895
9844,-4.387757476,-18.52718329,1.544379694,-1.21246,-7.730000019,3.700000048,1.56158
7225,12.37085795,2.51936775,-3.646269917,1.86626,-2.569999933,5.829999924,1.38
8708,10.60490396,-1.024093395,-5.570471742,2.1002,2.390000105,4.449999809,1.39211
2787,-1.169333594,14.47576868,1.289998509,0.775893,-5.199999809,5.900000095,4.83925
9105,9.38771017,6.745176966,-3.30981436,1.27492,-1.840000033,-3.279999971,1.55664
9182,7.512512344,-2.666111215,-1.04755815,-3.93424,-4.039999962,-0.280000001,5.09632
3790,-0.430231492,-14.85002182,1.649999607,0.494667,9999.990234,9999.990234,3.37011
11371,12.23623248,2.489249257,-4.44522475,-0.257555,0.800000012,4.130000114,0.897323
6910,10.29955835,-0.169329693,-2.608122183,-2.88151,-1.789999962,0.02,2.51794
6100,2.587023039,12.45194813,-5.536981701,-1.55,-4.210000038,3.819999933,1.96105
9921,0.049215561,-14.36388615,-2.16893311,1.6,1.149999976,-2.220000029,1.60789
9720,1.683977179,-16.47402496,-2.298327324,1.18046,-9.850000381,-1.159999967,1.19842
8688,10.2564006,7.421048235,-3.653651797,1.16,0.519999981,5.960000038,1.07132
4080,0.318767409,-14.97999681,0.790000274,-4.804,-1.159999967,2.25999999,3.47663
6425,-5.635955453,-16.9014932,-6.709483607,2.82,-2.470000029,6.550000191,2.63895
5728,0.075015768,-12.04800219,-6.639997143,-2.21,5.179999828,0.810000002,4.15211
9442,10.00583307,2.69659617,-4.254522122,0.769512,0.50999999,-1.99000001,2.42528
11536,11.32749318,0.119866343,-3.579148823,-2.286,-0.75,-3.019999981,2.20316
9023,8.680777741,7.377284584,-3.81207804,3.23281,2.460000038,-3.910000086,2.49425
2134,-1.383604629,-1.891072991,-10.96574567,7.3866,-2.099999905,4.300000191,5.71368
7389,10.42073904,-6.057352429,-0.560970999,0.460011,2.319999933,-5.099999905,1.74558
392,-48.24064934,-30.71301145,10.08635361,-1.039999962,-6.059999943,3.819999933,2.069999933
6292,0.612046141,-10.81801299,-9.165015282,-1.43,-0.839999974,-2.75,2.17895
11666,6.521914502,9.149783018,-2.807055489,0.364,-0.829999983,-3.670000076,1.57005
945,-2.104610615,-15.5726833,-7.902031734,0.0536163,2.799999952,-4.199999809,1.80761
969,-1.193456087,-19.18625072,-2.397801763,-0.143174,-2.700000048,3.400000095,1.39146
10006,-1.08001786,-15.37856267,-1.247106247,0.779613,3.019999981,0.75999999,2.50579
1958,2.612369185,7.111185528,8.20362866,-5.60859,1.899999976,-4,3.2253
4588,10.34995894,-1.929991696,0.069999724,-1.77618,-0.99000001,-6.059999943,2.49353
7181,12.6871907,2.342869144,-4.344368606,-0.370055,2.50999999,-2.880000114,1.16207
9555,13.64069755,-1.326846376,-3.699447029,0.286,-0.670000017,2.00999999,0.645816
2204,-2.350492263,-6.626538361,-11.2803704,4.36118,5.5,-2.700000048,3.01991
2840,0.65613879,15.81434214,-0.040602891,-1.19464,-4.300000191,3.799999952,2.53076
9757,2.556573488,-13.64949816,-2.315623019,-0.440862,0.370000005,3.50999999,2.96579
7294,9.370806178,1.961890104,-3.59675466,-2.37813,-5.010000229,3.539999962,2.23266
9957,-6.037286078,-18.39016466,-1.596146292,-0.403162,1.080000043,0.810000002,2.55155
9188,10.47594121,-1.743183625,-2.344065288,0.961647,0.540000021,2.720000029,2.56906
9422,11.19095384,3.371773017,-4.075059175,2.46489,-0.529999971,-2.640000105,1.22115
4247,6.669998258,7.320004958,-1.119996008,-1.4649,-9.68999958,7.130000114,5.33541
12640,4.393161181,13.75405073,-1.442509503,-3.495,1.789999962,-3.150000095,1.05195
12675,5.863478471,9.320131426,-3.727340934,0.0397,1.340000033,-4.309999943,2.16684
11920,9.663327849,6.75655783,-3.003250061,-1.62632,4.139999866,-0.74000001,1.59835
9180,7.365027281,-2.689554946,-0.995163641,-3.3,1.440000057,0.050000001,4.75737
2471,-5.106081527,-16.19944566,3.864958484,2.78647,-1.200000048,-3.099999905,2.24446
6620,5.926617739,8.332822266,-7.221122247,0.615,6.670000076,-4.400000095,3.09895
2748,-3.419508982,16.28892534,-9.48961613,5.13158,0.100000001,1.5,2.51121
8348,8.804645521,-3.992888553,-1.851266615,-2.49992,1.070000052,-3.869999886,3.47939
7073,8.246529674,5.546076244,-2.639630541,-4.51657,-1.409999967,4.050000191,4.33747
4266,2.95997991,-16.81998499,2.139992496,1.43672,-1.25,4.260000229,0.89579
12192,11.00190576,2.896194601,-4.692292334,0.609383,-0.449999988,2.069999933,1.91683
4343,6.050052717,-10.02002049,-2.640010001,-0.592167,-5.340000153,-1.75,2.50539
12874,-1.597750295,18.12516401,-1.121839445,0.331883,5.03000021,-1.940000057,1.13789
12496,-8.725623536,22.45045028,-3.472367558,2.909,2.180000067,-0.439999998,1.38182
3978,9.31997197,-8.529968815,-1.399995263,0.7025,-2.690000057,-2.059999943,1.73105
1737,0.220998305,9.265846925,-12.66342572,-2.90302,2.799999952,-3.900000095,1.71853
6759,9.505787218,8.811483869,-2.007446292,0.768501,2.599999905,-2.789999962,1.63058
1139,-5.375168187,18.14131077,-2.895850117,-4.52555,3.799999952,4.900000095,3.41852
3116,4.108271884,-6.164254464,5.677351314,-1.61862,6.400000095,-4.199999809,4.35946
12910,8.489178013,7.996438448,-3.433769373,2.20265,1.74000001,1.559999943,1.60295
7207,10.64980438,-3.453147282,-2.29273298,-0.72,0.270000011,-3.130000114,1.97316
12472,-5.120517785,17.12269743,1.415319272,2.26,1.649999976,-2.25,5.39895
8407,12.12334379,1.567824753,-3.72037488,-0.748438,-10.72000027,-5.800000191,1.31191
3927,8.56999961,-5.82999809,-0.059999973,1.224,7.309999943,1.169999957,2.92947
9100,11.08922888,5.990443025,-4.484916851,-0.433917,-1.580000043,4.800000191,1.56882
3348,3.50670771,5.40142099,-10.99830338,0.483894,0.5,5.699999809,4.24311
2611,-6.200619888,14.14459322,-10.31891402,1.13814,0.5,-2,3.35942
3553,3.149950484,-12.51003487,-0.070000145,-5.23375,-0.370000005,1.200000048,2.2536
11504,13.59937054,-3.876303528,-2.69530914,0.527006,3.349999905,-1.49000001,0.641579
11416,9.817185753,2.69382194,-4.208804685,-0.631018,2.799999952,0.800000012,2.58822
1106,-6.514933462,-13.76906866,8.93198844,1.15231,-0.300000012,4,2.80737
2370,-6.389811047,-18.10901944,-1.728246087,1.56334,0.100000001,3.700000048,2.42318
1973,4.727368706,5.915861306,9.710641308,3.07996,2.599999905,-1.100000024,3.22697
10084,1.18994875,16.2256779,-1.390890589,-2.7964,9999.990234,9999.990234,1.58143
2733,1.855079167,3.744086469,-12.0717997,1.77031,-2.200000048,1.700000048,3.55611
10735,11.18904252,-6.01526908,-3.239439069,0.4495,1.330000043,-2.819999933,1.38484
1348,2.109971661,-0.251878396,-10.00809824,0.102002,-2.099999905,4.400000095,2.83961
1893,1.177530193,16.80489414,0.232273566,0.472863,2,-4.5,1.54607
10231,1.649285061,14.88029122,-0.683345549,1.4475,0.479999989,3.640000105,2.62079
13073,6.811008815,-12.33998269,-0.518734496,1.568,9999.990234,9999.990234,1.25895
7725,9.922575737,1.079729661,-2.897461102,0.12375,4.369999886,-3.430000067,2.81901
3418,7.949978868,7.189979253,1.279991165,-0.0105,3.950000048,1.049999952,3.19801
5756,-2.037439579,-15.38150846,-4.108503119,1.45,-3.480000019,2.900000095,1.81579
10535,10.40639399,-1.625127666,-3.86185648,-1.7983,-0.039999999,-1.169999957,1.94209
6429,-14.92901468,-20.72597248,6.809003101,3.97,-4.400000095,4.409999847,1.30737
2886,3.224309061,9.046843841,6.749309414,-3.86522,0.5,-1.5,4.32372
3943,4.709996687,-9.059964866,-0.829996916,-1.798,1.129999995,7.260000229,3.87883
8887,11.92533824,5.532543303,-3.649233818,0.193,-6.920000076,3.49000001,1.08584
5515,9.250975917,10.75796452,-3.96898301,0.15,-3.869999886,1.639999986,1.52526
367,-55.72593402,-19.4578104,4.787939066,2.910000086,2.440000057,-3.619999886,1.730000019
8989,12.48749744,4.520460101,-3.11261312,1.988,-4.25,4.449999809,1.22687
6975,9.053301962,6.421339114,-3.344480058,-1.08262,7.949999809,3.799999952,1.68703
6009,-8.610503696,20.60699329,10.46748994,-0.1,-0.25,2.980000019,1.64632
3587,-1.55007204,17.36000517,-1.080001564,1.854,-5.619999886,0.49000001,3.059
691,5.360000315,6.749997435,0.120000262,-7.6,-0.400000006,0.400000006,7.62
10200,8.741748665,9.645042092,-1.874650712,0.544,-3.329999924,2.549999952,1.0235
7632,3.271296856,-10.86367326,2.118431206,-1.9054,0.01,3.5,3.6457
3258,-5.818115145,12.74041179,-13.14672331,0.650823,0.300000012,0.5,9.33117
3740,9.709993255,3.919992516,-0.479999393,-0.861,-1.580000043,5.510000229,3.22
9074,8.199219877,5.910474592,-4.657891188,2.22069,4.409999847,2.329999924,4.18582
11298,10.66989715,-2.949580924,-1.988158705,2.73127,-1.74000001,0.910000026,1.77811
3653,6.779956667,11.11002652,-4.489997329,0.5715,-0.949999988,8.050000191,1.79158
10953,8.925685691,7.405714075,-4.469621722,-0.726,9999.990234,9999.990234,1.96589
3636,-0.789923357,-16.29999937,2.900006297,1.82431,-3.069999933,5.260000229,1.28078
12303,12.22902135,-3.92256474,-2.456261985,0.398204,-0.100000001,3.849999905,1.04105
11170,12.24376177,0.113310312,-3.318823841,0.343445,2.869999886,-2.579999924,1.03728
6303,-3.568037831,-8.200513379,11.9300379,-0.19,-0.090000004,-2.450000048,6.68211
11350,12.50959539,-1.812902465,-3.30853095,0.06264,-0.25,1.850000024,0.946494
6526,3.23990461,11.81473181,-1.504098026,0.505,0.430000007,1.110000014,3.6336
8096,10.40952539,5.110654247,-4.254971223,-0.567813,0.930000007,-0.870000005,1.29791
12649,5.222382756,12.64164324,-2.619196725,-1.635,0.140000001,-4.03000021,1.21718
1178,-1.820897094,19.02227675,0.422485995,-0.071626,-6.400000095,-1.100000024,1.67053
6167,5.956998068,3.603000397,-11.06897393,-0.07,-0.689999998,3.130000114,1.94895
5455,-2.20704268,16.30603861,-2.837000804,-0.35,-1.169999957,-8.239999771,3.43789
7165,11.14336415,2.715915047,-4.632088624,-1.04162,0.449999988,3.690000057,2.12119
3312,-5.550442732,15.71718654,-6.180787904,-8.44918,2.400000095,-0.699999988,5.83388
1411,2.613750709,-8.9870954,8.269554757,-0.66819,-0.600000024,3.900000095,1.73105
10912,9.324437389,8.223791136,-4.198735765,0.5877,4.349999905,-5.389999866,3.16165
1559,-4.729100582,-18.06966701,0.659623931,-1.37705,1.899999976,-4.099999905,1.58847
1541,-0.518646981,-15.35525709,3.594108291,0.430813,3.200000048,4.400000095,2.06886
12201,12.121815,-1.877648728,-3.244449959,0.4,-0.449999988,-2.440000057,1.34545
810,-6.199979544,-15.22998804,10.75998975,1,2.900000095,-3.099999905,0.99
1025,-4.314570677,-12.08195241,10.84654534,-7.42652,-4,-4,2.09421
9061,9.204695905,7.118754645,-3.289104201,0.132085,-1.419999957,-0.939999998,2.13985
963,-2.52647653,-16.33358241,-7.199233944,1.33738,-6.400000095,5.099999905,1.75927
807,-2.800043529,-10.80997576,6.339989061,1.8,2.5,-3.299999952,4.39
1717,1.27312815,6.119874454,-10.9380494,-2.22005,-1.399999976,3.5,4.01895
23,-55.40496394,-24.13955954,17.88632271,2.460000038,-0.689999998,3.220000029,1.360000014
7024,12.18868798,-0.27891366,-3.258829301,3.15352,1.470000029,-3.920000076,3.04646
2363,-6.000372373,-18.40183036,0.059590071,0.360817,-2.400000095,4.699999809,2.07491
7034,10.21595063,4.651055203,-4.6666549,0.92875,-3.680000067,3.589999914,1.16211
1678,-6.045576665,15.81946409,-8.357864068,8.35118,-3,2.200000048,3.6659
11715,11.42636698,3.553728737,-3.837456455,-0.628625,-1.269999981,0.839999974,1.28414
3067,0.197448551,-3.909159058,-11.40736225,-1.52797,2.799999952,0.100000001,2.24432
2327,-0.057027906,-14.27948646,3.393112745,3.03295,0,3.700000048,3.69352
9201,10.183013,-1.28420286,-2.693836855,0.474985,2.119999886,-1.730000019,1.03046
7833,6.30345329,7.618760329,-4.22264994,8.6161,-1.809999943,2.74000001,3.8837
5726,0.059014015,-12.17696523,-6.562978801,-2.21,-1.440000057,-3.029999971,5.10439
1395,-0.072391889,-10.30667238,-12.23755139,-3.68087,2.900000095,-4,0.980836
7581,1.318405926,-13.82208252,-2.489321019,0.147216,-4.139999866,1.429999948,1.92359
469,-58.13387243,26.75302001,3.80949199,0.25,2.650000095,-3.5,1.080000043
11032,8.146757892,5.870391681,-4.610408643,3.05383,-0.800000012,1.850000024,3.75213
10215,2.221394469,15.57320134,-0.12085704,0.864752,-3.140000105,9.100000381,2.18996
2502,-5.893318407,-15.81583551,4.822553084,0.52225,2.5,-6.300000191,4.40447
7063,13.83622222,1.765302704,-4.486605159,-0.042344,-0.319999993,4.71999979,0.556842
