,xpos,ypos,zpos,bz[nT],by[nT],bx[nT],pdyn[nPa]
9062,10.68129698,-2.57755729,-2.685021153,-0.202952,-1.690000057,2.119999886,2.33731
7097,-7.625926133,-17.8050442,-0.214000098,-1.61,0.460000008,5.019999981,2.09421
7997,3.938515732,-2.176011588,10.86045809,-3.19,1.269999981,5.860000134,2.00947
7288,-9.890933888,21.82803356,3.451491664,-1.61,-5.539999962,2.700000048,2.49368
10204,12.93243325,-1.45912943,-3.483784844,0.352182,-5.260000229,-0.209999993,1.04215
12868,10.65113897,7.983427362,-2.916814075,-1.585,4.559999943,-0.540000021,1.45263
3676,1.962736474,8.483989347,-10.12391055,-1.96858,4.539999962,3.25,3.52619
10320,11.11975026,1.922967353,-3.615726851,1.70953,-3.680000067,3.890000105,1.12314
3418,-5.429701142,-13.73903937,-8.382383484,-4.64153,3.950000048,1.049999952,2.25322
8607,6.38552555,7.689969116,-4.0920116,3.08783,-6.840000153,3.5,2.62684
7801,-14.04904402,12.14344933,-10.23450889,-5.85,-4.130000114,5.179999828,9.13947
10486,2.362944003,-18.66520495,1.666015773,-0.661429,-0.879999995,-3.49000001,1.02722
8649,9.97338879,8.80735343,-2.017853041,-1.7745,8.899999619,-2.549999952,1.30374
12916,9.108772375,7.053190671,-3.287181648,-0.192596,1.74000001,-0.720000029,1.98726
6461,10.37001184,-0.851314499,0.250000772,-3.89933,9999.990234,9999.990234,3.26116
4633,0.476723856,6.581619944,-14.118707,-2.08989,2.369999886,-2.309999943,2.75188
11826,0.251106425,-13.99837878,-2.299425196,1.80913,4.710000038,-4.28000021,1.41216
11059,10.83913253,5.152263831,-4.727200528,-0.406637,1.25,-4.260000229,1.27864
3249,6.538600338,-4.535979592,6.864640335,2.78002,5.699999809,-3.400000095,3.15947
11015,9.196876246,6.785309325,-3.187850181,-0.432583,-3.539999962,-2.049999952,1.62074
3910,4.151043658,3.782996282,8.444394468,-5.71658,7.880000114,-4.840000153,5.16353
3734,-1.839905669,13.81171814,5.875374402,2.10882,-0.280000001,-4.369999886,3.22926
3216,5.365850782,4.711258885,9.29392905,-2.00653,-2.099999905,0.5,4.23092
9424,-0.707998789,-14.33667254,2.580768229,-0.820293,-0.720000029,-2.170000076,2.0773
10564,9.256037889,5.768312873,-3.700488914,0.042001,-0.720000029,3.349999905,1.2995
6339,9.419996581,-2.290000404,0.270000253,-5.80259,-1.669999957,3.079999924,3.12002
10436,13.41511572,-4.341544535,-2.83938437,-0.898599,0.280000001,2.880000114,1.27105
6063,7.300003968,7.929999231,-1.958287075,-0.3175,-0.280000001,3.599999905,4.78618
8787,9.19219364,6.789594363,-3.77473396,-1.16895,-4.809999943,6.320000172,1.94971
6353,9.250002076,3.419998953,2.32999807,-4.677,-1.529999971,1.919999957,2.90688
11798,-2.768906447,-17.73996692,1.382459126,-2.37974,0.980000019,-2.099999905,1.29221
6140,6.939997972,7.039996292,-0.989999419,-2.03833,-0.129999995,-3.059999943,4.98535
10011,9.398231281,5.059320864,-4.28497648,-2.1625,-0.109999999,-1.610000014,1.36789
12604,8.473823068,-5.525199389,-2.530498294,-0.878401,-1.879999995,2.390000105,2.15474
5214,-5.550442732,15.71718654,-6.180787904,-8.44918,-2.710000038,-4.340000153,5.83388
11910,-0.861809851,-15.05975544,-1.494013741,-2.28094,-3.099999905,1.789999962,2.79623
9211,10.29377469,-4.576621855,-2.565291162,1.52,0.870000005,-3.480000019,1.63808
3087,-1.660974955,19.084553,-0.695026129,-0.48879,-4.800000191,-5.099999905,1.24686
11231,11.57850758,3.210742065,-4.942586043,-0.248219,1.24000001,-0.600000024,0.849524
7948,-4.595094034,19.11600705,-2.783513771,1.72,0.189999998,4.28000021,3.17158
7229,-9.809012793,16.66046537,12.37848246,0.9,-2.819999933,6.960000038,2.67526
11646,2.436304255,-14.9922228,-2.552081581,-0.169448,-0.769999981,3.880000114,0.943208
8467,-1.06839299,-16.36979787,0.845500396,-0.255,-8.020000458,-2.099999905,3.13526
9263,10.08995306,-5.479810703,-2.249266965,1.82999,2.349999905,-0.419999987,2.0458
10103,11.30807672,4.74294178,-3.805872358,0.080016,-0.829999983,1.769999981,1.48693
13421,13.65305629,-1.379763429,-3.669306315,0.39,-0.200000003,-3.720000029,0.611316
4559,-7.280314918,14.94323587,-9.428086578,-0.491459,-2.359999895,7.53000021,7.12276
10493,-3.010743231,-21.27628356,2.218826084,-0.610004,4.570000172,-1.889999986,0.968405
6285,8.019966112,-6.949967452,1.009996074,-2.906,-2.869999886,-1.899999976,2.37203
6758,-12.02198324,14.98249988,11.44248405,0.17,2.670000076,-2.579999924,3.63158
11358,9.883650038,-3.96914845,-1.913075064,1.62494,-2.470000029,0.100000001,1.75684
3844,2.39246255,7.81783237,8.604528022,5.19671,4.510000229,6.320000172,3.36584
10940,12.49101418,5.457491829,-5.057249893,0.092888,-0.670000017,2.779999971,1.45753
11862,-5.864007071,-18.45458655,-1.077559716,-0.557464,1.559999943,-2.940000057,2.2024
12131,1.673446285,14.91167169,-0.660315859,1.324,-1.99000001,-1.5,2.52213
12535,11.06382328,-2.516802188,-4.034167889,0.883,1.649999976,-3.539999962,1.41051
14699,7.379992002,7.778772135,-4.207679655,3.86129,1.659999967,-2.390000105,1.75498
8107,6.63896962,-4.500477468,-12.71506589,-0.55,-0.289999992,-2.670000076,0.786842
5041,3.217274941,-12.22154235,2.955045529,-3.928,-6,5.079999924,3.51053
10885,11.21397702,2.685046051,-2.542390496,2.474,-0.730000019,2.390000105,1.29042
12960,9.590365434,6.65007746,-3.418184476,-1.4469,-3.299999952,-0.860000014,1.56355
5750,9.630006585,4.719997191,1.469998208,-0.465,-2.809999943,3.529999971,3.46816
13668,9.740836108,1.157608506,-2.52562328,0.7415,-1.570000052,1.580000043,2.54574
3037,-10.36207874,-16.21607761,1.238931169,0.424912,3.700000048,-6.099999905,2.88196
7487,6.006513781,-3.278005002,-9.922019111,-2.33,-2.430000067,-0.75999999,1.75526
5113,-3.004203564,6.726999378,-13.12000188,2.03235,3.25999999,-5,1.93469
4961,8.049444446,-6.414709704,3.734022519,0.483513,-3.880000114,3.829999924,2.99393
9377,-0.189975374,-14.497042,-1.856771811,-1.51893,-1.850000024,1.360000014,2.5628
13999,11.53512537,4.624953963,-3.995676678,-1.19478,-0.5,-3.630000114,1.75021
5905,4.020025833,-9.85998128,-4.609999032,-1.79167,-1.320000052,0.939999998,4.07076
11106,11.85764467,-0.14665334,-3.218675092,-0.0135935,0.109999999,-2.930000067,1.03576
